datetime,humidity,pressure,temperature,wind_direction,wind_speed,weather_condition,city,country,latitude,longitude
2015-09-23T11:00:00.000+07:00,83.0,1013.0,292.64,66.0,1.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-24T14:00:00.000+07:00,83.0,1012.0,293.8,222.0,0.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-27T14:00:00.000+07:00,88.0,1010.0,293.76,10.0,1.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-28T11:00:00.000+07:00,88.0,1011.0,293.89,320.0,2.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-28T12:00:00.000+07:00,83.0,1011.0,293.74,50.0,2.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-28T13:00:00.000+07:00,83.0,1011.0,293.3,20.0,1.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-28T19:00:00.000+07:00,57.0,1013.0,301.5,290.0,5.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-29T14:00:00.000+07:00,83.0,1013.0,291.38,20.0,1.0,foggy,San Diego,United States,32.715328,-117.157257
2015-09-30T20:00:00.000+07:00,48.0,1011.0,301.68,300.0,4.0,cloudy,San Diego,United States,32.715328,-117.157257
2015-10-04T10:00:00.000+07:00,73.0,1003.0,293.99,160.0,4.0,rainy,San Diego,United States,32.715328,-117.157257
2015-10-04T11:00:00.000+07:00,79.0,1006.0,292.40896034,152.0,4.0,rainy,San Diego,United States,32.715328,-117.157257
2015-10-08T14:00:00.000+07:00,93.0,1017.0,291.0,30.0,2.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-12T16:00:00.000+07:00,50.0,1015.0,298.37,122.0,0.0,cloudy,San Diego,United States,32.715328,-117.157257
2015-10-15T10:00:00.000+07:00,83.0,1014.0,295.406930257,286.0,2.0,cloudy,San Diego,United States,32.715328,-117.157257
2015-10-15T14:00:00.000+07:00,88.0,1015.0,295.01,310.0,1.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-15T15:00:00.000+07:00,88.0,1015.0,295.3,250.0,2.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-17T19:00:00.000+07:00,69.0,1013.0,298.15,300.0,4.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-18T14:00:00.000+07:00,87.0,1016.0,294.184887763,297.0,1.0,rainy,San Diego,United States,32.715328,-117.157257
2015-10-21T23:00:00.000+07:00,64.0,1012.0,296.89,290.0,3.0,cloudy,San Diego,United States,32.715328,-117.157257
2015-10-22T20:00:00.000+07:00,64.0,1015.0,297.81,240.0,3.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-27T22:00:00.000+07:00,26.0,1013.0,298.77,270.0,4.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-29T15:00:00.000+07:00,100.0,1009.0,291.69,140.0,1.0,foggy,San Diego,United States,32.715328,-117.157257
2015-10-31T10:00:00.000+07:00,50.0,1015.0,288.4,53.0,1.0,sunny,San Diego,United States,32.715328,-117.157257
2015-11-04T13:00:00.000+07:00,100.0,1014.0,284.64,133.0,0.0,rainy,San Diego,United States,32.715328,-117.157257
2015-11-05T20:00:00.000+07:00,42.0,1022.0,293.72,290.0,2.0,sunny,San Diego,United States,32.715328,-117.157257
2015-11-11T12:00:00.000+07:00,100.0,1024.0,283.06,63.0,1.0,sunny,San Diego,United States,32.715328,-117.157257
2015-11-14T10:00:00.000+07:00,65.0,1016.0,283.14,63.0,1.0,sunny,San Diego,United States,32.715328,-117.157257
2015-11-16T13:00:00.000+07:00,54.0,1013.0,288.06,280.0,6.0,cloudy,San Diego,United States,32.715328,-117.157257
2015-11-24T18:00:00.000+07:00,25.0,1015.0,293.06,155.0,1.0,sunny,San Diego,United States,32.715328,-117.157257
2015-11-27T15:00:00.000+07:00,87.0,1016.0,283.51,90.0,2.0,rainy,San Diego,United States,32.715328,-117.157257
2015-12-08T14:00:00.000+07:00,70.0,1018.0,283.4,59.0,1.0,sunny,San Diego,United States,32.715328,-117.157257
